MET,Alt_CG_Geod_CM (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_LAS (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_Booster (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Quat1_s (CM),Quat1_v0 (CM),Quat1_v1 (CM),Quat1_v2 (CM),Quat1_s (LAS),Quat1_v0 (LAS),Quat1_v1 (LAS),Quat1_v2 (LAS),Quat1_s (Booster),Quat1_v0 (Booster),Quat1_v1 (Booster),Quat1_v2 (Booster),Engine Flag,reserved
0.75,-45.537331,0.49669454,-1.4054857,-45.537331,0.49669454,-1.4054851,-45.537331,0.49669454,-1.4054849,0.447545399,0.54848486,0.44519487,-0.54833293,0.447545399,0.54848486,0.44519487,-0.54833293,0.447545399,0.54848486,0.44519487,-0.54833293,0,0
0.775,-45.537437,0.49669454,-1.4054857,-45.537437,0.49669454,-1.4054851,-45.537437,0.49669454,-1.4054849,0.44755515,0.54846495,0.44516903,-0.54836589,0.44755515,0.54846495,0.44516903,-0.54836589,0.44755515,0.54846495,0.44516903,-0.54836589,0,0
0.8,-45.53772,0.49669454,-1.4054857,-45.53772,0.49669454,-1.4054851,-45.53772,0.49669454,-1.4054849,0.447576314,0.54845595,0.44513178,-0.54838783,0.447576314,0.54845595,0.44513178,-0.54838783,0.447576314,0.54845595,0.44513178,-0.54838783,0,0
0.825,-45.537979,0.49669454,-1.4054857,-45.537979,0.49669454,-1.4054851,-45.537979,0.49669454,-1.4054849,0.447588112,0.54844326,0.44509906,-0.54841745,0.447588112,0.54844326,0.44509906,-0.54841745,0.447588112,0.54844326,0.44509906,-0.54841745,0,0
0.85,-45.538231,0.49669454,-1.4054857,-45.538231,0.49669454,-1.4054851,-45.538231,0.49669454,-1.4054849,0.447600444,0.54843342,0.44507727,-0.54843491,0.447600444,0.54843342,0.44507727,-0.54843491,0.447600444,0.54843342,0.44507727,-0.54843491,0,0
0.875,-45.538483,0.49669454,-1.4054857,-45.538483,0.49669454,-1.4054851,-45.538483,0.49669454,-1.4054849,0.44761446,0.54842401,0.44504878,-0.54845595,0.44761446,0.54842401,0.44504878,-0.54845595,0.44761446,0.54842401,0.44504878,-0.54845595,0,0
0.9,-45.538719,0.49669454,-1.4054857,-45.538719,0.49669454,-1.4054851,-45.538719,0.49669454,-1.4054849,0.447621905,0.54841256,0.44503519,-0.5484724,0.447621905,0.54841256,0.44503519,-0.5484724,0.447621905,0.54841256,0.44503519,-0.5484724,0,0
0.925,-45.539051,0.49669454,-1.4054857,-45.539051,0.49669454,-1.4054851,-45.539051,0.49669454,-1.4054849,0.447636483,0.54840153,0.44501281,-0.54848969,0.447636483,0.54840153,0.44501281,-0.54848969,0.447636483,0.54840153,0.44501281,-0.54848969,0,0
0.95,-45.539478,0.49669454,-1.4054857,-45.539478,0.49669454,-1.4054851,-45.539478,0.49669454,-1.4054849,0.447641557,0.54840422,0.44499829,-0.54849464,0.447641557,0.54840422,0.44499829,-0.54849464,0.447641557,0.54840422,0.44499829,-0.54849464,0,0
0.975,-45.539833,0.49669454,-1.4054857,-45.539833,0.49669454,-1.4054851,-45.539833,0.49669454,-1.4054849,0.44764912,0.54839718,0.44498953,-0.54850256,0.44764912,0.54839718,0.44498953,-0.54850256,0.44764912,0.54839718,0.44498953,-0.54850256,0,0
1,-45.540192,0.49669454,-1.4054857,-45.540192,0.49669454,-1.4054851,-45.540192,0.49669454,-1.4054849,0.447649462,0.54839301,0.44498146,-0.54851305,0.447649462,0.54839301,0.44498146,-0.54851305,0.447649462,0.54839301,0.44498146,-0.54851305,0,0
1.025,-45.541412,0.49669454,-1.4054857,-45.541412,0.49669454,-1.4054851,-45.541412,0.49669454,-1.4054849,0.447653742,0.54839003,0.44497597,-0.54851699,0.447653742,0.54839003,0.44497597,-0.54851699,0.447653742,0.54839003,0.44497597,-0.54851699,0,0
1.05,-45.541954,0.49669454,-1.4054857,-45.541954,0.49669454,-1.4054851,-45.541954,0.49669454,-1.4054849,0.447658949,0.54838949,0.44496956,-0.54851848,0.447658949,0.54838949,0.44496956,-0.54851848,0.447658949,0.54838949,0.44496956,-0.54851848,0,0
1.075,-45.542381,0.49669454,-1.4054857,-45.542381,0.49669454,-1.4054851,-45.542381,0.49669454,-1.4054849,0.44764972,0.54838896,0.44497764,-0.54852003,0.44764972,0.54838896,0.44497764,-0.54852003,0.44764972,0.54838896,0.44497764,-0.54852003,0,0
1.1,-45.54285,0.49669454,-1.4054857,-45.54285,0.49669454,-1.4054851,-45.54285,0.49669454,-1.4054849,0.447652364,0.548388,0.44497383,-0.54852188,0.447652364,0.548388,0.44497383,-0.54852188,0.447652364,0.548388,0.44497383,-0.54852188,0,0
1.125,-45.543434,0.49669454,-1.4054857,-45.543434,0.49669454,-1.4054851,-45.543434,0.49669454,-1.4054849,0.447648873,0.54839104,0.44498771,-0.54851043,0.447648873,0.54839104,0.44498771,-0.54851043,0.447648873,0.54839104,0.44498771,-0.54851043,0,0
