MET,Alt_CG_Geod_CM (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_LAS (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_Booster (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Quat1_s (CM),Quat1_v0 (CM),Quat1_v1 (CM),Quat1_v2 (CM),Quat1_s (LAS),Quat1_v0 (LAS),Quat1_v1 (LAS),Quat1_v2 (LAS),Quat1_s (Booster),Quat1_v0 (Booster),Quat1_v1 (Booster),Quat1_v2 (Booster),Engine Flag,reserved
0.747853,-47.109692,0.49669436,-1.405486,-47.109692,0.49669436,-1.405486,-47.109692,0.49669436,-1.405486,0.4532813597,0.54286236,0.45342556,-0.54244053,0.4532813597,0.54286236,0.45342556,-0.54244053,0.4532813597,0.54286236,0.45342556,-0.54244053,0,0
0.767533,-47.110554,0.49669436,-1.405486,-47.110554,0.49669436,-1.405486,-47.110554,0.49669436,-1.405486,0.4532785493,0.54285872,0.45342994,-0.54244286,0.4532785493,0.54285872,0.45342994,-0.54244286,0.4532785493,0.54285872,0.45342994,-0.54244286,0,0
0.806893,-47.11137,0.49669436,-1.405486,-47.11137,0.49669436,-1.405486,-47.11137,0.49669436,-1.405486,0.4532787975,0.54285049,0.45344433,-0.54243886,0.4532787975,0.54285049,0.45344433,-0.54243886,0.4532787975,0.54285049,0.45344433,-0.54243886,0,0
0.826573,-47.112251,0.49669436,-1.405486,-47.112251,0.49669436,-1.405486,-47.112251,0.49669436,-1.405486,0.4532767664,0.54284948,0.45344678,-0.54243952,0.4532767664,0.54284948,0.45344678,-0.54243952,0.4532767664,0.54284948,0.45344678,-0.54243952,0,0
0.846253,-47.113113,0.49669436,-1.405486,-47.113113,0.49669436,-1.405486,-47.113113,0.49669436,-1.405486,0.453278858,0.54284972,0.45344561,-0.54243851,0.453278858,0.54284972,0.45344561,-0.54243851,0.453278858,0.54284972,0.45344561,-0.54243851,0,0
0.865933,-47.113873,0.49669436,-1.405486,-47.113873,0.49669436,-1.405486,-47.113873,0.49669436,-1.405486,0.4532755002,0.54284787,0.45344904,-0.5424403,0.4532755002,0.54284787,0.45344904,-0.5424403,0.4532755002,0.54284787,0.45344904,-0.5424403,0,0
0.905293,-47.114666,0.49669436,-1.405486,-47.114666,0.49669436,-1.405486,-47.114666,0.49669436,-1.405486,0.4532789038,0.54284853,0.45344535,-0.54243988,0.4532789038,0.54284853,0.45344535,-0.54243988,0.4532789038,0.54284853,0.45344535,-0.54243988,0,0
0.924974,-47.115437,0.49669436,-1.405486,-47.115437,0.49669436,-1.405486,-47.115437,0.49669436,-1.405486,0.4532801663,0.54285187,0.45343924,-0.54244059,0.4532801663,0.54285187,0.45343924,-0.54244059,0.4532801663,0.54285187,0.45343924,-0.54244059,0,0
0.944654,-47.116257,0.49669436,-1.405486,-47.116257,0.49669436,-1.405486,-47.116257,0.49669436,-1.405486,0.4532827927,0.54286009,0.45342919,-0.54243857,0.4532827927,0.54286009,0.45342919,-0.54243857,0.4532827927,0.54286009,0.45342919,-0.54243857,0,0
0.964334,-47.117031,0.49669436,-1.405486,-47.117031,0.49669436,-1.405486,-47.117031,0.49669436,-1.405486,0.4532846397,0.54286486,0.45342314,-0.54243731,0.4532846397,0.54286486,0.45342314,-0.54243731,0.4532846397,0.54286486,0.45342314,-0.54243731,0,0
1.003694,-47.117771,0.49669436,-1.405486,-47.117771,0.49669436,-1.405486,-47.117771,0.49669436,-1.405486,0.4532870396,0.54286641,0.45341203,-0.54244304,0.4532870396,0.54286641,0.45341203,-0.54244304,0.4532870396,0.54286641,0.45341203,-0.54244304,0,0
1.023373,-47.118504,0.49669436,-1.405486,-47.118504,0.49669436,-1.405486,-47.118504,0.49669436,-1.405486,0.4532846723,0.54287314,0.45339465,-0.54245281,0.4532846723,0.54287314,0.45339465,-0.54245281,0.4532846723,0.54287314,0.45339465,-0.54245281,0,0
1.043054,-47.119286,0.49669436,-1.405486,-47.119286,0.49669436,-1.405486,-47.119286,0.49669436,-1.405486,0.4532877274,0.54288423,0.45338053,-0.54245096,0.4532877274,0.54288423,0.45338053,-0.54245096,0.4532877274,0.54288423,0.45338053,-0.54245096,0,0
1.082414,-47.120056,0.49669436,-1.405486,-47.120056,0.49669436,-1.405486,-47.120056,0.49669436,-1.405486,0.4532911964,0.54289502,0.45336249,-0.54245234,0.4532911964,0.54289502,0.45336249,-0.54245234,0.4532911964,0.54289502,0.45336249,-0.54245234,0,0
1.102094,-47.120831,0.49669436,-1.405486,-47.120831,0.49669436,-1.405486,-47.120831,0.49669436,-1.405486,0.4532969264,0.54290533,0.45333964,-0.54245633,0.4532969264,0.54290533,0.45333964,-0.54245633,0.4532969264,0.54290533,0.45333964,-0.54245633,0,0
1.121774,-47.121563,0.49669436,-1.405486,-47.121563,0.49669436,-1.405486,-47.121563,0.49669436,-1.405486,0.4533051479,0.54291272,0.4533143,-0.54246324,0.4533051479,0.54291272,0.4533143,-0.54246324,0.4533051479,0.54291272,0.4533143,-0.54246324,0,0
1.141454,-47.12236,0.49669436,-1.405486,-47.12236,0.49669436,-1.405486,-47.12236,0.49669436,-1.405486,0.4533114623,0.54292929,0.45328942,-0.54246217,0.4533114623,0.54292929,0.45328942,-0.54246217,0.4533114623,0.54292929,0.45328942,-0.54246217,0,0
1.180815,-47.123138,0.49669436,-1.405486,-47.123138,0.49669436,-1.405486,-47.123138,0.49669436,-1.405486,0.453314994,0.54294217,0.45326468,-0.542467,0.453314994,0.54294217,0.45326468,-0.542467,0.453314994,0.54294217,0.45326468,-0.542467,0,0
1.200495,-47.123951,0.49669436,-1.405486,-47.123951,0.49669436,-1.405486,-47.123951,0.49669436,-1.405486,0.4533255533,0.54295444,0.45323443,-0.54247117,0.4533255533,0.54295444,0.45323443,-0.54247117,0.4533255533,0.54295444,0.45323443,-0.54247117,0,0
1.220175,-47.12476,0.49669436,-1.405486,-47.12476,0.49669436,-1.405486,-47.12476,0.49669436,-1.405486,0.4533311903,0.54297191,0.45320329,-0.54247499,0.4533311903,0.54297191,0.45320329,-0.54247499,0.4533311903,0.54297191,0.45320329,-0.54247499,0,0
1.239854,-47.12553,0.49669436,-1.405486,-47.12553,0.49669436,-1.405486,-47.12553,0.49669436,-1.405486,0.453337869,0.54298681,0.45316863,-0.54248345,0.453337869,0.54298681,0.45316863,-0.54248345,0.453337869,0.54298681,0.45316863,-0.54248345,0,0
1.279215,-47.126347,0.49669436,-1.405486,-47.126347,0.49669436,-1.405486,-47.126347,0.49669436,-1.405486,0.4533456279,0.54300779,0.45313495,-0.5424841,0.4533456279,0.54300779,0.45313495,-0.5424841,0.4533456279,0.54300779,0.45313495,-0.5424841,0,0
1.298895,-47.127094,0.49669436,-1.405486,-47.127094,0.49669436,-1.405486,-47.127094,0.49669436,-1.405486,0.4533507578,0.54302114,0.45310211,-0.54249388,0.4533507578,0.54302114,0.45310211,-0.54249388,0.4533507578,0.54302114,0.45310211,-0.54249388,0,0
1.318575,-47.127949,0.49669436,-1.405486,-47.127949,0.49669436,-1.405486,-47.127949,0.49669436,-1.405486,0.4533609049,0.54303843,0.45306417,-0.54249978,0.4533609049,0.54303843,0.45306417,-0.54249978,0.4533609049,0.54303843,0.45306417,-0.54249978,0,0
1.338255,-47.128819,0.49669436,-1.405486,-47.128819,0.49669436,-1.405486,-47.128819,0.49669436,-1.405486,0.4533681513,0.54306418,0.45302355,-0.54250187,0.4533681513,0.54306418,0.45302355,-0.54250187,0.4533681513,0.54306418,0.45302355,-0.54250187,0,0
1.377616,-47.129658,0.49669436,-1.405486,-47.129658,0.49669436,-1.405486,-47.129658,0.49669436,-1.405486,0.4533804949,0.5430789,0.45298749,-0.54250693,0.4533804949,0.5430789,0.45298749,-0.54250693,0.4533804949,0.5430789,0.45298749,-0.54250693,0,0
1.397296,-47.130573,0.49669436,-1.405486,-47.130573,0.49669436,-1.405486,-47.130573,0.49669436,-1.405486,0.4533894954,0.54310256,0.45294476,-0.5425114,0.4533894954,0.54310256,0.45294476,-0.5425114,0.4533894954,0.54310256,0.45294476,-0.5425114,0,0
1.416976,-47.131374,0.49669436,-1.405486,-47.131374,0.49669436,-1.405486,-47.131374,0.49669436,-1.405486,0.4533939293,0.54312378,0.45289952,-0.54252422,0.4533939293,0.54312378,0.45289952,-0.54252422,0.4533939293,0.54312378,0.45289952,-0.54252422,0,0
1.456335,-47.132145,0.49669436,-1.405486,-47.132145,0.49669436,-1.405486,-47.132145,0.49669436,-1.405486,0.4534038935,0.54314119,0.45286095,-0.54253066,0.4534038935,0.54314119,0.45286095,-0.54253066,0.4534038935,0.54314119,0.45286095,-0.54253066,0,0
1.476016,-47.132931,0.49669436,-1.405486,-47.132931,0.49669436,-1.405486,-47.132931,0.49669436,-1.405486,0.4534118145,0.54316622,0.45281872,-0.54253423,0.4534118145,0.54316622,0.45281872,-0.54253423,0.4534118145,0.54316622,0.45281872,-0.54253423,0,0
1.495696,-47.13372,0.49669436,-1.405486,-47.13372,0.49669436,-1.405486,-47.13372,0.49669436,-1.405486,0.4534211127,0.54318738,0.45277438,-0.54254228,0.4534211127,0.54318738,0.45277438,-0.54254228,0.4534211127,0.54318738,0.45277438,-0.54254228,0,0
1.515376,-47.134571,0.49669436,-1.405486,-47.134571,0.49669436,-1.405486,-47.134571,0.49669436,-1.405486,0.4534290949,0.5432092,0.45273092,-0.54255003,0.4534290949,0.5432092,0.45273092,-0.54255003,0.4534290949,0.5432092,0.45273092,-0.54255003,0,0
1.554736,-47.135448,0.49669436,-1.405486,-47.135448,0.49669436,-1.405486,-47.135448,0.49669436,-1.405486,0.4534458992,0.54322964,0.45268321,-0.54255533,0.4534458992,0.54322964,0.45268321,-0.54255533,0.4534458992,0.54322964,0.45268321,-0.54255533,0,0
1.574416,-47.136208,0.49669436,-1.405486,-47.136208,0.49669436,-1.405486,-47.136208,0.49669436,-1.405486,0.4534481513,0.54325253,0.45264477,-0.5425626,0.4534481513,0.54325253,0.45264477,-0.5425626,0.4534481513,0.54325253,0.45264477,-0.5425626,0,0
1.594096,-47.137302,0.49669436,-1.405486,-47.137302,0.49669436,-1.405486,-47.137302,0.49669436,-1.405486,0.4534642037,0.54327416,0.45259744,-0.54256701,0.4534642037,0.54327416,0.45259744,-0.54256701,0.4534642037,0.54327416,0.45259744,-0.54256701,0,0
1.613776,-47.138172,0.49669436,-1.405486,-47.138172,0.49669436,-1.405486,-47.138172,0.49669436,-1.405486,0.4534728088,0.54329473,0.45255047,-0.5425784,0.4534728088,0.54329473,0.45255047,-0.5425784,0.4534728088,0.54329473,0.45255047,-0.5425784,0,0
1.653136,-47.139084,0.49669436,-1.405486,-47.139084,0.49669436,-1.405486,-47.139084,0.49669436,-1.405486,0.4534809507,0.54331493,0.45250463,-0.5425896,0.4534809507,0.54331493,0.45250463,-0.5425896,0.4534809507,0.54331493,0.45250463,-0.5425896,0,0
1.672816,-47.140018,0.49669436,-1.405486,-47.140018,0.49669436,-1.405486,-47.140018,0.49669436,-1.405486,0.4534916587,0.54334044,0.45246726,-0.54258627,0.4534916587,0.54334044,0.45246726,-0.54258627,0.4534916587,0.54334044,0.45246726,-0.54258627,0,0
1.692497,-47.140846,0.49669436,-1.405486,-47.140846,0.49669436,-1.405486,-47.140846,0.49669436,-1.405486,0.4535020152,0.54336166,0.45242161,-0.54259443,0.4535020152,0.54336166,0.45242161,-0.54259443,0.4535020152,0.54336166,0.45242161,-0.54259443,0,0
1.731856,-47.141663,0.49669436,-1.405486,-47.141663,0.49669436,-1.405486,-47.141663,0.49669436,-1.405486,0.4535075642,0.54338425,0.4523789,-0.54260278,0.4535075642,0.54338425,0.4523789,-0.54260278,0.4535075642,0.54338425,0.4523789,-0.54260278,0,0
1.751536,-47.142487,0.49669436,-1.405486,-47.142487,0.49669436,-1.405486,-47.142487,0.49669436,-1.405486,0.4535206461,0.54340452,0.45233479,-0.54260832,0.4535206461,0.54340452,0.45233479,-0.54260832,0.4535206461,0.54340452,0.45233479,-0.54260832,0,0
1.771217,-47.143242,0.49669436,-1.405486,-47.143242,0.49669436,-1.405486,-47.143242,0.49669436,-1.405486,0.4535232047,0.54342598,0.45229429,-0.54261845,0.4535232047,0.54342598,0.45229429,-0.54261845,0.4535232047,0.54342598,0.45229429,-0.54261845,0,0
1.790897,-47.144066,0.49669436,-1.405486,-47.144066,0.49669436,-1.405486,-47.144066,0.49669436,-1.405486,0.4535378992,0.5434401,0.45225665,-0.5426234,0.4535378992,0.5434401,0.45225665,-0.5426234,0.4535378992,0.5434401,0.45225665,-0.5426234,0,0
